NAME,MSINI,A,PER,ECC,OM,MASS,RSTAR,DEPTH,BMV,V,VURL,VREF,J,H,KS
,mjupiter,au,day,,deg,mjupiter,rsun,,,,,,,,
PH-1 b,0,0.629412,138.506,0.0539,348,0,1.759,0.00103813,,,,,,,
Kepler-306 d,0,0.131044,17.326644,,90,0,0.719,,,,,,14.084,13.607,13.503
Kepler-37 d,0.0057744,0.212021,39.792187,0.102489,107.021,0.00577478,0.77,0.0005749,0.68,9.77,,,8.356,8,7.942
HD 13908 c,5.13,2.03386,931,0.12,185,5.13,1.67,,0.53,7.51,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,6.497,6.251,6.21
HD 125595 b,0.0416764,0.0809437,9.6737,0,90,0.0416764,1.03336,,1.107,9.03,,,7.097,6.608,6.447
WASP-79 b,0.884655,0.0534741,3.6623817,0,90,0.887514,1.64,0.01148,0.41,10.04,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,9.299,9.123,9.056
Kepler-107 b,0,0.0423212,3.179997,,90,0,1.411,,,,,,11.392,11.114,11.06
Kepler-109 c,,0.151991,21.2227,0,,0.0199023,1.32,0.00030387,-0.110001,12.93,,,11.314,11.046,11.001
HIP 57274 c,0.410096,0.177758,32.03,0.05,356.2,0.410096,0.68,,1.111,8.96,,,6.958,6.408,6.286
Kepler-30 d,0,0.534239,143.343,0.022,197,0.0726872,0.95,0.0083,,,,,14,13.62,13.58
Kepler-158 c,0,0.18282,28.551383,,90,0,0.624,,,,,,12.722,12.138,12.057
HD 93083 b,0.368176,0.476549,143.58,0.14,333.5,0.368176,1.14863,,0.945,8.3,,,6.694,6.259,6.132
HD 31253 b,0.501427,1.26054,466,0.3,244,0.501427,1.64612,,0.58,7.133,,,6.06,5.839,5.792
Kepler-357 c,0,0.128672,16.85837,,90,0,0.834,,,,,,13.991,13.514,13.41
HD 89744 b,8.18778,0.902604,256.78,0.673,195.1,8.18778,2.02329,,0.531,5.73,,,4.855,4.528,4.453
HD 183263 c,3.47646,4.29488,3066,0.23873,344.598,3.47646,1.11717,,0.678,7.86,,,6.782,6.527,6.421
WASP-42 b,0.496749,0.0547344,4.9816877,0,90,0.496968,0.85,0.0165,,12.57,,,10.542,10.103,10.033
Kepler-53 d,0,0.0893308,9.751962,,90,0,0.958,,,,,,14.252,13.91,13.81
Kepler-48 b,0.0123287,0.0532027,4.778,0,,0.0123966,0.89,0.000373185,,,,,11.702,11.292,11.221
HD 192310 c,0.0736073,1.18358,525.8,0.32,110,0.0736073,0.847025,,0.878,5.73,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,4.112,3.582,3.501
HD 1690 b,6.52644,1.36191,533,0.64,122,6.52644,21.1524,,1.354,9.17,,,6.877,6.229,6.018
HAT-P-41 b,0.799609,0.0425775,2.694047,0,90,0.800254,1.683,0.0105678,0.29,11.36,,,10.006,9.777,9.728
Kepler-42 c,0,0.00585017,0.45328509,,,0,0.17,0.00156025,1.836,16.124,,,12.177,11.685,11.465
HD 28185 b,5.79721,1.02341,379,0.05,44,5.79721,1.00685,,0.75,7.8,,,6.578,6.288,6.184
HD 23127 b,1.40487,2.31864,1214,0.44,190,1.40487,1.51172,,0.69,8.58,,,7.423,7.182,7.087
HD 154672 b,5.00638,0.598618,163.94,0.61,265,5.00638,1.31501,,0.71,8.21,,,7.013,6.699,6.612
Kepler-275 d,0,0.212092,35.676062,,90,0,1.383,,,,,,14.28,14.03,13.96
Kepler-52 b,0,0.0630945,7.8773565,,,0,0.52,,,,,,13.153,12.51,12.36
OGLE-TR-10 b,0.626643,0.0434855,3.101278,0,90,0.62,1.17,0.0121,,15.78,,,,,
Kepler-370 b,0,0.0539702,4.57953,,90,0,0.9,,,,,,13.977,13.65,13.55
gamma Leo A b,10.3722,1.29554,428.5,0.144,206.7,10.3722,27.4346,,1.08,2.12,,,-0.18,-0.85,-0.81
NN Ser c,2.24099,6.15467,5571,0.22,39,2.24099,,,-0.672001,16.672,,,16.91,16.25,16.17
HAT-P-2 b,8.85612,0.0679088,5.6334729,0.5171,185.22,8.87065,1.506,0.005223,0.41,8.71,,,7.796,7.652,7.603
HAT-P-24 b,0.685652,0.0465021,3.35524,0.067,197,0.685857,1.317,0.009409,0.45,11.76,,,10.797,10.589,10.543
HD 11506 b,4.7347,2.60488,1405,0.3,262,4.7347,1.26275,,0.607,7.51,,,7.047,6.779,6.707
tau Boo b,4.13,0.0480039,3.312433,0.023,90,5.95,1.41847,,0.508,4.5,,,3.616,3.545,3.36
Kepler-124 c,0,0.112713,13.821375,,90,0,0.636,,,,,,12.78,12.314,12.233
Kepler-184 c,0,0.145651,20.303005,,90,0,0.873,,,,,,13.1,12.752,12.69
HD 34445 b,0.790506,2.06642,1049,0.27,104,0.790506,1.39357,,0.62,7.31,,,6.121,5.847,5.79
Kepler-318 b,0,0.0546218,4.662715,,90,0,1.189,,,,,,12.148,11.832,11.766
